,ds,y
304,2014-11-01,295936.0
305,2014-11-02,448211.0
306,2014-11-03,416880.0
307,2014-11-04,472184.0
308,2014-11-05,385361.0
309,2014-11-06,507361.0
310,2014-11-07,538053.0
311,2014-11-08,807945.0
312,2014-11-09,299207.0
313,2014-11-10,397029.0
314,2014-11-11,770927.0
315,2014-11-12,497130.0
316,2014-11-13,670636.0
317,2014-11-14,587539.0
318,2014-11-15,352697.0
319,2014-11-16,576385.0
320,2014-11-17,754902.0
321,2014-11-18,575577.0
322,2014-11-19,406949.0
323,2014-11-20,565717.0
324,2014-11-21,327500.0
325,2014-11-22,316743.0
326,2014-11-23,353502.0
327,2014-11-24,386597.0
328,2014-11-25,469399.0
329,2014-11-26,442146.0
330,2014-11-27,461114.0
331,2014-11-28,260690.0
332,2014-11-29,306636.0
333,2014-11-30,351256.0
334,2014-12-01,444456.0
335,2014-12-02,351516.0
336,2014-12-03,321550.0
337,2014-12-04,235339.0
338,2014-12-05,386244.0
339,2014-12-06,332556.0
340,2014-12-07,558122.0
341,2014-12-08,684792.0
342,2014-12-09,402576.0
343,2014-12-10,526820.0
344,2014-12-11,645939.0
345,2014-12-12,368254.0
346,2014-12-13,449297.0
347,2014-12-14,381711.0
348,2014-12-15,409386.0
349,2014-12-16,533767.0
350,2014-12-17,594875.0
351,2014-12-18,502669.0
352,2014-12-19,434570.0
353,2014-12-20,267379.0
354,2014-12-21,371705.0
355,2014-12-22,442040.0
356,2014-12-23,583102.0
357,2014-12-24,388944.0
358,2014-12-25,225615.0
359,2014-12-26,287237.0
360,2014-12-27,331760.0
361,2014-12-28,185631.0
362,2014-12-29,650802.0
363,2014-12-30,574351.0
364,2014-12-31,460781.0
365,2015-01-01,316435.0
